benchmarkId,board,createdAt,sha256,md5,state,cycles,duration_ms,device,frequency_MHz,model_name,model_size,rom_n_macc,val_error,allocate-inputs,allocate-outputs,compression,optimization,layersInExternalFlash,layersInInternalFlash,useExternalFlash,useExternalRam,total_flash_bytes,total_ram_bytes,internal_flash,external_flash,internal_ram,external_ram,activations_bytes,weights_bytes,extra_flash_bytes,kernel_flash_bytes,extra_ram_bytes,kernel_ram_bytes,io_bytes
cd452587-bddc-49dd-8341-193ae93b1476,STM32H7S78-DK,Sun Jun 16 2024 12:42:49 GMT+0200 (Central European Summer Time),809472d94a9e80e6cce276a5fe14e47a2868c2afac1fd2dc25a20fbf45a5efa3,7789231821c6a550dc8c664d3bd39e73,done,"330190156","550.3169272765517","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_25_224,1870372,43583168,0.0000037109666664036922,true,true,,balanced,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias","",true,true,1898486,1249220,28114,1870372,417732,813568,1232896,1870372,,28114,,16324,0/0
a3ece85b-b744-437b-ba1b-1f9a704f9291,STM32H7S78-DK,Sun Jun 16 2024 12:45:50 GMT+0200 (Central European Summer Time),809472d94a9e80e6cce276a5fe14e47a2868c2afac1fd2dc25a20fbf45a5efa3,7789231821c6a550dc8c664d3bd39e73,done,"404896103","674.8268396109343","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_25_224,1870372,43583168,0.0000037109666664036922,true,true,,ram,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias","",true,true,1898418,833492,28046,1870372,16276,817216,817216,1870372,,28046,,16276,0/0
c06bdfc2-16a3-4f7b-a412-0de4b9bd1083,STM32H7S78-DK,Sun Jun 16 2024 12:48:33 GMT+0200 (Central European Summer Time),809472d94a9e80e6cce276a5fe14e47a2868c2afac1fd2dc25a20fbf45a5efa3,7789231821c6a550dc8c664d3bd39e73,done,"326991225","544.9853762388229","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_25_224,1870372,43583168,0.0000037109666664036922,true,true,,time,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias","",true,true,1898418,1421252,28046,1870372,417732,1003520,1404928,1870372,,28046,,16324,0/0
