benchmarkId,board,createdAt,sha256,md5,state,cycles,duration_ms,device,frequency_MHz,model_name,model_size,rom_n_macc,val_error,allocate-inputs,allocate-outputs,compression,optimization,layersInExternalFlash,layersInInternalFlash,useExternalFlash,useExternalRam,total_flash_bytes,total_ram_bytes,internal_flash,external_flash,internal_ram,external_ram,activations_bytes,weights_bytes,extra_flash_bytes,kernel_flash_bytes,extra_ram_bytes,kernel_ram_bytes,io_bytes
ec5e41fd-e6a5-4d8d-a7ee-2dae4b614327,STM32H7S78-DK,Sat Jun 01 2024 14:02:26 GMT+0200 (Ora legale dell’Europa centrale),809472d94a9e80e6cce276a5fe14e47a2868c2afac1fd2dc25a20fbf45a5efa3,7789231821c6a550dc8c664d3bd39e73,done,"329951102","549.9185039624572","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_25_224,1870372,43583168,0.0000037109666664036922,true,true,,balanced,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias","",true,true,1898486,1249220,28114,1870372,417732,813568,1232896,1870372,,28114,,16324,0/0
1e27f9eb-a15a-498d-8923-035c9e40a87c,STM32H7B3I-DK,Sat Jun 01 2024 14:02:30 GMT+0200 (Ora legale dell’Europa centrale),809472d94a9e80e6cce276a5fe14e47a2868c2afac1fd2dc25a20fbf45a5efa3,7789231821c6a550dc8c664d3bd39e73,done,"322117829","1150.420819953084","stm32 family - 0x0 - UNKNOW @280/140MHz::fpu,art_lat=3,core_icache,core_dcache",280,mobilenet_v1_0_25_224,1870372,43583168,0.0000037109666664036922,true,true,,balanced,"conv2d_10_weights","conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias",true,false,1898602,894468,1882218,16384,894468,0,878144,1870372,,28230,,16324,0/0
b6fe5118-cd53-4ba7-b7eb-74e0cde18d96,STM32F469I-DISCO,Sat Jun 01 2024 14:02:34 GMT+0200 (Ora legale dell’Europa centrale),809472d94a9e80e6cce276a5fe14e47a2868c2afac1fd2dc25a20fbf45a5efa3,7789231821c6a550dc8c664d3bd39e73,done,"872634339","4847.968555510044","stm32 family - 0x434 - STM32F469 @180/180MHz::fpu,art_lat=5,art_prefetch,art_icache,art_dcache",180,mobilenet_v1_0_25_224,1870372,43583168,0.000003709474185598083,true,true,,balanced,"conv2d_10_weights","conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias",true,true,1898678,894468,1882294,16384,77252,817216,878144,1870372,,28306,,16324,0/0
e86b379c-d6ce-42f5-95e2-644018b88609,STM32H7S78-DK,Sat Jun 01 2024 14:06:36 GMT+0200 (Ora legale dell’Europa centrale),809472d94a9e80e6cce276a5fe14e47a2868c2afac1fd2dc25a20fbf45a5efa3,7789231821c6a550dc8c664d3bd39e73,done,"405640062","676.0667705386877","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_25_224,1870372,43583168,0.0000037109666664036922,true,true,,ram,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias","",true,true,1898418,833492,28046,1870372,16276,817216,817216,1870372,,28046,,16276,0/0
b1ba793d-4620-42f6-ab5a-c54446d6ab5b,STM32H7B3I-DK,Sat Jun 01 2024 14:06:39 GMT+0200 (Ora legale dell’Europa centrale),809472d94a9e80e6cce276a5fe14e47a2868c2afac1fd2dc25a20fbf45a5efa3,7789231821c6a550dc8c664d3bd39e73,done,"323293472","1154.6195441037416","stm32 family - 0x0 - UNKNOW @280/140MHz::fpu,art_lat=3,core_icache,core_dcache",280,mobilenet_v1_0_25_224,1870372,43583168,0.0000037109666664036922,true,true,,ram,"conv2d_10_weights","conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias",true,false,1898418,833492,1882034,16384,833492,0,817216,1870372,,28046,,16276,0/0
0efdfbae-d9d8-4598-9457-afaba6776b0f,STM32F469I-DISCO,Sat Jun 01 2024 14:06:42 GMT+0200 (Ora legale dell’Europa centrale),809472d94a9e80e6cce276a5fe14e47a2868c2afac1fd2dc25a20fbf45a5efa3,7789231821c6a550dc8c664d3bd39e73,done,"903442564","5019.125357270241","stm32 family - 0x434 - STM32F469 @180/180MHz::fpu,art_lat=5,art_prefetch,art_icache,art_dcache",180,mobilenet_v1_0_25_224,1870372,43583168,0.000003709474185598083,true,true,,ram,"conv2d_10_weights","conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias",true,true,1898510,833492,1882126,16384,16276,817216,817216,1870372,,28138,,16276,0/0
c3f4d9d7-219a-43fd-8390-1fcff16fe38d,STM32H7B3I-DK,Sat Jun 01 2024 14:10:50 GMT+0200 (Ora legale dell’Europa centrale),809472d94a9e80e6cce276a5fe14e47a2868c2afac1fd2dc25a20fbf45a5efa3,7789231821c6a550dc8c664d3bd39e73,done,"408517858","1458.99235150218","stm32 family - 0x0 - UNKNOW @280/140MHz::fpu,art_lat=3,core_icache,core_dcache",280,mobilenet_v1_0_25_224,1870372,43583168,0.0000037109666664036922,true,true,,time,"conv2d_10_weights","conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias",true,true,1898414,1271748,1882030,16384,67524,1204224,1255424,1870372,,28042,,16324,0/0
488346a3-6631-4f27-90a6-2939e635205d,STM32H7S78-DK,Sat Jun 01 2024 14:10:48 GMT+0200 (Ora legale dell’Europa centrale),809472d94a9e80e6cce276a5fe14e47a2868c2afac1fd2dc25a20fbf45a5efa3,7789231821c6a550dc8c664d3bd39e73,done,"327270983","545.4516387656331","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_25_224,1870372,43583168,0.0000037109666664036922,true,true,,time,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias","",true,true,1898418,1421252,28046,1870372,417732,1003520,1404928,1870372,,28046,,16324,0/0
b22cefc5-e8df-4815-b518-01c5e6d0c8f3,STM32F469I-DISCO,Sat Jun 01 2024 14:10:52 GMT+0200 (Ora legale dell’Europa centrale),809472d94a9e80e6cce276a5fe14e47a2868c2afac1fd2dc25a20fbf45a5efa3,7789231821c6a550dc8c664d3bd39e73,done,"871314969","4840.638721585274","stm32 family - 0x434 - STM32F469 @180/180MHz::fpu,art_lat=5,art_prefetch,art_icache,art_dcache",180,mobilenet_v1_0_25_224,1870372,43583168,0.000003709474185598083,true,true,,time,"conv2d_10_weights","conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias",true,true,1898550,1271748,1882166,16384,67524,1204224,1255424,1870372,,28178,,16324,0/0
