benchmarkId,board,createdAt,sha256,md5,state,cycles,duration_ms,device,frequency_MHz,model_name,model_size,rom_n_macc,val_error,allocate-inputs,allocate-outputs,compression,optimization,layersInExternalFlash,layersInInternalFlash,useExternalFlash,useExternalRam,total_flash_bytes,total_ram_bytes,internal_flash,external_flash,internal_ram,external_ram,activations_bytes,weights_bytes,extra_flash_bytes,kernel_flash_bytes,extra_ram_bytes,kernel_ram_bytes,io_bytes
019ab0f9-9f99-4317-95aa-1e7860ff372c,STM32H7S78-DK,Tue Jun 25 2024 11:43:42 GMT+0200 (Central European Summer Time),b14dcdda08a2a8746977ef312504b86e4205c10508de5b50816fd380f6a679db,a55e80d75a52d1f534236bb33c4f2958,done,"210785263","351.30877235531807","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_5_224_quant,1346052,149548180,0.0005090582417324185,true,true,,balanced,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias","",true,true,1385727,438740,39675,1346052,446116,100352,424588,1346052,,39675,,14152,0/0
43a01cc2-1021-458c-953f-7e72c19e6cf4,STM32H7S78-DK,Tue Jun 25 2024 11:49:51 GMT+0200 (Central European Summer Time),b14dcdda08a2a8746977ef312504b86e4205c10508de5b50816fd380f6a679db,a55e80d75a52d1f534236bb33c4f2958,done,"407994649","679.9910827297717","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_5_224_quant,1346052,149548180,0.0005090582417324185,true,true,,ram,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias","",true,true,1385703,427432,39651,1346052,15252,412244,413280,1346052,,39651,,14152,0/0
a7c311e8-d4d0-461e-bbc3-9cfba5f790cc,STM32H7S78-DK,Tue Jun 25 2024 11:57:12 GMT+0200 (Central European Summer Time),b14dcdda08a2a8746977ef312504b86e4205c10508de5b50816fd380f6a679db,a55e80d75a52d1f534236bb33c4f2958,done,"269118532","448.53088726103306","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_5_224_quant,1346052,149548180,0.0005090582417324185,true,true,,time,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias,conv2d_0_weights,conv2d_0_bias","",true,true,1385691,843988,39639,1346052,442580,401408,829788,1346052,,39639,,14200,0/0
